Exercise Name,Category,Age Group,Goals,Target Region,Contraindications,Fitness Level,Available Equipment,Sets,Reps,RPE,Rest Intervals,Health Benefit,Steps to Perform,Safety Cue,Validation Status
Kettlebell Swing,"Functional Strength, Low-Impact Cardio",18-55,"Increase overall strength, Improve cardiovascular fitness","Full Body, Core","Acute back injury, unmanaged hernia, unstable shoulder",Level 5 – Adaptive Advanced,Free Weights (Kettlebell),4,15-20,9-8,60 seconds,Hip Power & Posterior Chain Development,"1. Hinge at the hips (like a RDL) to grip the bell. 2. Hike the bell back, then aggressively snap hips forward, squeezing glutes to propel the bell upward (to chest height). 3. Let the bell fall back into the hinge position.","It is a hip-driven movement, not a squat. Keep the back flat and avoid letting the arms lift the bell.",
Heel-Toe Walk,"Balance, Stability, Posture",60+,"Improve Posture and Balance, Rehabilitation & Injury prevention","Lower Body, Core","Severe vertigo, unstable ankle/foot injury",Level 1 – Assisted / Low Function,Bodyweight (Wall/Rail for support),3,10 steps forward & back,4-3,30 seconds,Dynamic Balance & Proprioception,"1. Stand near a wall. Place one foot directly in front of the other (heel touching toe). 2. Walk forward slowly, maintaining the heel-to-toe contact for each step. 3. Look forward, not down at your feet.",Take your time and use the support surface only for fingertip balance if possible.,
Standing Calf Stretch (Wall),"Flexibility, Mobility",All Ages,"Improve Flexibility & Mobility, Rehabilitation & Injury prevention",Lower Body,"Acute Achilles tendon injury, Deep Vein Thrombosis (DVT)",Level 2 – Beginner Functional,"Bodyweight, Wall",2,Hold 30 sec / leg,3-2,15 seconds,Ankle Mobility & Plantar Fascia Health,"1. Face a wall, place the ball of one foot against the wall (heel on the floor). 2. Gently lean your hips forward until you feel a comfortable stretch in the calf. 3. Hold and then repeat on the other side.",Keep the back leg straight for the deep calf (gastrocnemius) stretch.,
Hollow Body Hold (Modified),"Core (Spine-Friendly), Stability",18-55,"Increase overall strength, Improve Posture and Balance",Core,"Recent abdominal surgery, severe back pain",Level 4 – Active Wellness,Mat,3,Hold 30-45 sec,8-7,60 seconds,Total Core Strength & Tension,"1. Lie on your back, press your low back into the mat. 2. Lift head, neck, and shoulders off the mat. Extend arms overhead. 3. Lift legs slightly off the floor, keeping the low back glued to the mat.","If your low back arches, raise your legs higher toward the ceiling or bend your knees.",
Scapular Wall Slide,"Posture, Mobility",All Ages,"Improve Posture and Balance, Rehabilitation & Injury prevention","Upper Body, Core","Acute shoulder impingement, unhealed rib fracture",Level 2 – Beginner Functional,"Bodyweight, Wall",3,10-12,4-3,45 seconds,Shoulder Blade Control & Posture,"1. Stand against a wall, pressing your lower back and head against it. 2. Place forearms/elbows against the wall, forming a goalpost shape. 3. Slowly slide arms up the wall, keeping the back and forearms in contact, then slide back down.",Keep your wrists and elbows touching the wall as much as possible to ensure scapular engagement.,
Farmer's Carry,"Functional Strength, Stability",18-60,"Increase overall strength, Improve Posture and Balance","Full Body, Core","Acute low back pain, shoulder instability",Level 4 – Active Wellness,Free Weights (Heavy Dumbbells/Kettlebells),3,30-45 seconds (distance),7-6,90 seconds,Grip Strength & Trunk Stability,"1. Pick up heavy weights, stand tall, and brace core. 2. Walk slowly and deliberately for the prescribed time or distance. 3. Maintain perfectly upright posture, resisting the urge to lean or slump.","Do not lean away from the weights. Keep your shoulders back and down, chest up.",
Box Step-Up,"Low-Impact Cardio, Functional Strength",All Ages,"Improve cardiovascular fitness, Increase overall strength",Lower Body,"Acute knee/ankle pain, severe ligament laxity",Level 3 – Moderate / Independent,Cardio Tools (Step/Box/Bench),3,10-12 / leg,6-5,60 seconds,Quad/Glute Strength & Cardio,"1. Stand facing a sturdy box/step. Place one foot completely on the box. 2. Step up using the front leg, bringing the back foot up (or just tapping it). 3. Step down slowly with the back leg, then the front. Alternate or complete all reps on one side.",Push through the heel of the foot on the box. Avoid pushing off the floor with the back foot.,
Band Pull-Apart,"Posture, Stability",All Ages,"Improve Posture and Balance, Rehabilitation & Injury prevention",Upper Body,"Acute biceps tendonitis, shoulder pain during abduction",Level 2 – Beginner Functional,Resistance Band (Long Loop),3,15-20,5-4,45 seconds,Rotator Cuff & Mid-Back Activation,"1. Stand tall, holding the band straight out in front of you with a shoulder-width grip. 2. Keeping arms straight (or slightly bent), pull the band horizontally apart, squeezing shoulder blades together. 3. Slowly return to the starting position.",Keep arms at chest height and avoid shrugging your shoulders toward your ears.,
Standing Biceps Stretch (Wall),Flexibility,All Ages,Improve Flexibility & Mobility,Upper Body,"Acute elbow or wrist pain, shoulder surgery history",Level 2 – Beginner Functional,"Bodyweight, Wall",2,Hold 30 sec / side,3-2,15 seconds,Relieve Arm/Forearm Tension,"1. Stand next to a wall, place your palm flat on the wall behind you at shoulder height, fingers pointing backward. 2. Gently rotate your body away from the arm until you feel a stretch in the front of the shoulder and biceps. 3. Hold and switch sides.",Do not force the stretch if you feel sharp pain in the elbow or shoulder joint.,
Supine Hip External Rotation,"Mobility, Rehabilitation",60+,"Rehabilitation & Injury prevention, Improve Flexibility & Mobility",Lower Body,"Unhealed hip labral tear, acute hip joint pain",Level 1 – Assisted / Low Function,Mat,3,10-12 / side,3-2,30 seconds,Hip Joint Health & Range of Motion,"1. Lie on your back, knees bent, feet flat. 2. Keeping your feet together, slowly let one knee fall open to the side (external rotation). 3. Use hip muscles to pull the knee back up to the center.",Keep your pelvis steady and avoid letting your hips tilt or rock as the knee moves out.,
Seated Spinal Twist (Yoga),"Flexibility, Yoga",All Ages,"Improve Flexibility & Mobility, Reduce Stress","Core, Full Body","Acute sciatica, recent spinal fusion surgery",Level 2 – Beginner Functional,Mat,2,Hold 30 sec / side,3-2,30 seconds,Spinal Detoxification & Mobility,"1. Sit tall with legs extended. Bend one knee, stepping the foot over the opposite leg. 2. Place the hand behind you for support. Wrap the opposite arm around the bent knee. 3. Inhale to lengthen the spine, exhale to gently twist and look over the back shoulder.","Twist from the torso, not the neck. Use gentle pressure to deepen the stretch with each exhale.",
Medicine Ball Slams,"Functional Strength, Low-Impact Cardio",18-40,"Increase overall strength, Improve cardiovascular fitness","Full Body, Core","Spinal disc issues, acute shoulder injury",Level 5 – Adaptive Advanced,Balls (Medicine Ball),3,12-15,9-8,60 seconds,Explosive Power & Core Conditioning,"1. Stand holding the ball. Raise it explosively overhead, fully extending the body. 2. Hinge hips and slam the ball hard into the ground between your feet. 3. Catch the rebound and immediately repeat.",Protect your back by driving the slam with your hips (like a hinge/squat) and bracing your core.,
Pallof Press (Standing),"Core (Spine-Friendly), Stability",18-60,"Increase overall strength, Rehabilitation & Injury prevention",Core,"Unmanaged hernia, acute rib pain",Level 4 – Active Wellness,Cable Machine or Resistance Band,3,10-12 / side,7-6,60 seconds,Anti-Rotation Core Stability,"1. Stand perpendicular to the cable/band anchor, gripping the handle with both hands at your chest. 2. Slowly press the handle straight out in front of you. 3. Hold for 2 seconds, resisting the force trying to rotate your body away from the anchor. Slowly return.",Brace your core tightly and avoid letting your hips or shoulders rotate toward the anchor point.,
Prone Diaphragmatic Breathing,Breathing & Diaphragmatic Work,All Ages,"Improve Posture and Balance, Reduce Stress","Core, Full Body","Severe GERD, late-stage pregnancy",Level 1 – Assisted / Low Function,Mat,3,8-10 breaths,2-1,N/A,Diaphragm Strengthening & Low Back Support,"1. Lie on your belly with forehead resting on stacked hands or a cushion. 2. Inhale through the nose, feeling the belly press gently into the floor. 3. Exhale slowly, feeling the belly draw back in.",Ensure your body is completely relaxed except for the gentle movement of the diaphragm.,
Seated Leg Press (Machine),Functional Strength,60+,"Increase overall strength, Rehabilitation & Injury prevention",Lower Body,"Acute knee replacement (check surgeon protocol), unmanaged high blood pressure",Level 2 – Beginner Functional,Machine,3,12-15,5-4,60 seconds,Safe Lower Body Strength & Bone Density,"1. Sit in machine, feet shoulder-width on the platform. Unlock the safety handles. 2. Push the platform away using your heels and glutes until legs are nearly straight (do not lock knees). 3. Slowly return the platform to the starting position with control.",Never lock your knees out completely at the top; keep a micro-bend. Control the speed on the way back.,
Seated Calf Raises (Machine),Stability,40+,"Rehabilitation & Injury prevention, Increase overall strength",Lower Body,"Acute Achilles tendon injury, Deep Vein Thrombosis (DVT)",Level 3 – Moderate / Independent,Machine,3,15-20,7-6,45 seconds,Ankle Stability & Injury Prevention,"1. Sit in machine, place balls of feet on platform, adjust pad over knees. 2. Lower heels as far as comfortable to stretch calves. 3. Drive up onto your toes, holding the contraction briefly at the peak.","Maintain control throughout the movement. Avoid bouncing at the bottom stretch, which can strain the Achilles.",
Chair Stand (Assisted),"Functional Strength, Stability",60+,"Increase overall strength, Rehabilitation & Injury prevention","Lower Body, Core","Acute knee/hip pain, recent knee/hip surgery",Level 1 – Assisted / Low Function,"Bodyweight, Sturdy Chair",3,8-10,4-3,60 seconds,Activities of Daily Living (ADL) Strength,"1. Sit tall in a sturdy chair, feet flat and knees bent 90 degrees. 2. Lean slightly forward, push through feet to stand up (using hands for support as needed). 3. Slowly and with control, lower back down to the seated position.","Choose a chair with armrests for safety and support. Control the speed, especially when lowering back down.",
Resistance Band Chest Press (Supine),"Stability, Functional Strength",All Ages,"Rehabilitation & Injury prevention, Increase overall strength","Upper Body, Core","Acute shoulder instability, rotator cuff tear",Level 2 – Beginner Functional,"Resistance Band, Mat",3,12-15,5-4,60 seconds,Shoulder Health & Scapular Control,"1. Lie on back, band looped under back, holding ends in hands, arms out wide. 2. Press hands straight up toward the ceiling, engaging chest and shoulder muscles. 3. Slowly return to the starting position.",Keep your shoulders pressed down into the floor and avoid shrugging up toward your ears.,
Single-Arm Kettlebell Halo,"Mobility, Stability",18-60,"Improve Flexibility & Mobility, Rehabilitation & Injury prevention","Upper Body, Core","Acute shoulder impingement, recent neck surgery",Level 4 – Active Wellness,Free Weights (Kettlebell/Dumbbell),3,8-10 / side,6-5,45 seconds,Shoulder Girdle Mobility & Core Stability,1. Hold the kettlebell upside down (bottoms-up) at chest height. 2. Slowly move the bell in a controlled circle around your head. 3. Reverse the direction and repeat. Maintain core engagement throughout.,Keep the bell close to your head and move slowly to maintain control and protect the neck.,
Quadruped Hip Extension,"Core (Spine-Friendly), Stability",40-60,"Rehabilitation & Injury prevention, Increase overall strength","Lower Body, Core","Acute SI joint pain, wrist pain (use fists)",Level 2 – Beginner Functional,Mat,3,12-15 / side,4-3,45 seconds,Glute Activation & Low Back Support,"1. Start on hands and knees (tabletop). 2. Keep the knee bent at 90 degrees. Lift one leg up toward the ceiling (foot facing ceiling). 3. Squeeze the glute at the top, then slowly lower the leg.",Avoid arching the low back. The movement should only come from the hip joint and glute muscles.,
Seated Machine Lat Pulldown,"Functional Strength, Posture",All Ages,"Increase overall strength, Improve Posture and Balance","Upper Body, Core","Acute shoulder injury, tennis/golfer's elbow",Level 3 – Moderate / Independent,Machine,3,10-12,7-6,90 seconds,Upper Back Strength & Posture Improvement,"1. Sit at the machine, grip the bar slightly wider than shoulders. 2. Brace core, lean back slightly, and pull the bar down toward your chest, squeezing shoulder blades together. 3. Slowly raise the bar back up with control, feeling the stretch in the lats.",Keep your chest tall and avoid letting your entire body swing or rock backward to assist the pull.,
Pelvic Tilt (Supine),"Core (Spine-Friendly), Mobility",All Ages,"Rehabilitation & Injury prevention, Improve Flexibility & Mobility",Core,"Acute back flare-up (perform gently), unstable pelvic fracture",Level 1 – Assisted / Low Function,Mat,3,10-12,2-1,30 seconds,Lumbar Spine Mobility & Core Awareness,"1. Lie on your back, knees bent, feet flat. 2. Gently flatten the lower back into the floor by tilting the pelvis up (tucking the tailbone). 3. Slowly release and let the low back return to a neutral position.",The movement is small and subtle. Avoid pressing down so hard that your butt lifts off the floor.,
Seated Dumbbell Shoulder Press,Functional Strength,18-55,Increase overall strength,Upper Body,"Shoulder impingement, unhealed AC joint separation",Level 4 – Active Wellness,"Free Weights (Dumbbells), Bench",3,8-10,8-7,120 seconds,Shoulder Strength & Definition,"1. Sit upright on a bench with back support, holding dumbbells at shoulder height, palms forward. 2. Press the dumbbells straight overhead until arms are nearly locked. 3. Slowly lower the weights back to the start.",Keep your core tight and avoid excessive arching in the lower back as you press the weights overhead.,
Low-Impact Water Walking,Low-Impact Cardio,All Ages,"Improve cardiovascular fitness, Rehabilitation & Injury prevention",Full Body,"Open wounds, fear of water, unmanaged ear infection",Level 1 – Assisted / Low Function,Cardio Tools (Pool/Water),1,10-20 minutes,5-3,N/A,Gentle Cardio & Joint Protection,"1. Stand in chest or waist-deep water. 2. Begin walking normally, using the water's resistance. 3. Use an arm swing to increase the cardiorespiratory effort.",Wear water shoes for traction. Maintain an upright posture and control your speed.,
Wall Angel,"Posture, Mobility",All Ages,"Improve Posture and Balance, Rehabilitation & Injury prevention",Upper Body,"Acute shoulder pain, significant rotator cuff damage",Level 2 – Beginner Functional,"Bodyweight, Wall",3,10-12,4-3,45 seconds,Shoulder Mobility & Postural Alignment,"1. Stand against a wall (head, shoulders, and hips touching). 2. Bring arms up with elbows bent 90 degrees, palms facing forward (like a goalpost). 3. Slowly slide arms overhead, attempting to keep arms and hands touching the wall.",Keep your lower back as flat as possible against the wall. Do not let your ribcage flare out.,
Yoga: Tree Pose (Vrksasana),"Balance, Yoga",All Ages,"Improve Posture and Balance, Reduce Stress","Lower Body, Core","Acute knee/ankle injury, severe dizziness",Level 3 – Moderate / Independent,Bodyweight,3,Hold 30 sec / side,5-4,30 seconds,"Focus, Stability & Grounding",1. Stand tall. Shift weight to one foot. Place the sole of the opposite foot on the calf or inner thigh (avoid the knee). 2. Bring hands to prayer position at the chest or extend them overhead. 3. Gaze at a fixed spot and hold.,Engage the core and gently push the foot into the inner thigh (and the inner thigh back) to lock the balance.,
Seated Row (Cable Machine),"Functional Strength, Posture",All Ages,"Increase overall strength, Improve Posture and Balance","Upper Body, Core","Unhealed abdominal hernia, acute lower back pain",Level 4 – Active Wellness,Machine (Cable),3,10-12,7-6,90 seconds,Mid-Back Thickness & Posture,"1. Sit at machine, feet on platform, slight bend in knees. Grip handle. 2. Pull the handle toward your abdomen, squeezing shoulder blades together. 3. Slowly extend the arms back out, maintaining an upright torso.",Keep the torso upright and avoid excessive rocking back and forth to maintain muscle isolation.,
